iso,name,show
Salamis(Attica),Salamis (Attica),1
Salamis?,Salamis?,1
Samaria,Samaria,1
Samaria(Sebaste),Samaria (Sebaste),1
Samaria-Sebaste,Samaria-Sebaste,1
SamoEasternEurope,SamoEastern Europe,1
Samos,Samos,1
Samos(Ionia),Samos (Ionia),1
Samosata,Samosata,1
Samosata?,Samosata?,1
Sardes(Lydia),Sardes (Lydia),1
Sardinia,Sardinia,1
Sardis,Sardis,1
Sardis(Lydia),Sardis (Lydia),1
Scamandria,Scamandria,1
Scepsis,Scepsis,1
Sebaste,Sebaste,1
Sebaste(Phrygia),Sebaste (Phrygia),1
Sebaste(Samaria?),Sebaste (Samaria?),1
Sebastopolis-Heracleopolis,Sebastopolis-Heracleopolis,1
Sebastopolis/Heracleopolis(Pontus),Sebastopolis/Heracleopolis (Pontus),1
Segobriga,Segobriga,1
Segobriga(Cuenca),Segobriga (Cuenca),1
Segobriga?(Cuenca),Segobriga? (Cuenca),1
Sekaisa(Zaragoza),Sekaisa (Zaragoza),1
SeleuciaadCalycadnum,Seleucia ad Calycadnum,1
SeleuciaCalycadnum,Seleucia Calycadnum,1
SeleuciaontheKalykadnos,Seleucia on the Kalykadnos,1
SeleuciaontheTigris,Seleucia on the Tigris,1
SeleuciaPieria,Seleucia Pieria,1
SeleuciaPieria?,Seleucia Pieria?,1
SeleuciaTigris,Seleucia Tigris,1
Seleucia?,Seleucia?,1
Seleucis?,Seleucis?,1
Selge,Selge,1
Selge(Pisidia),Selge (Pisidia),1
Sepphoris,Sepphoris,1
Sepphoris-Diocaesarea,Sepphoris-Diocaesarea,1
Serdica,Serdica,1
Sestos(Chersonese),Sestos (Chersonese),1
Sicyon,Sicyon,1
Side,Side,1
Side(Pamphylia),Side (Pamphylia),1
Sidon,Sidon,1
Sidon?,Sidon?,1
Sigeum,Sigeum,1
Sikyon(Sikyonia),Sikyon (Sikyonia),1
Silandus,Silandus,1
Sillyon,Sillyon,1
Sillyon(Pamphylia),Sillyon (Pamphylia),1
Singara,Singara,1
Sinope,Sinope,1
Sinope(Paphlagonia),Sinope (Paphlagonia),1
Sinope(Pontus),Sinope (Pontus),1
Sirmium,Sirmium,1
Sirmium?,Sirmium?,1
Siscia,Siscia,1
Siscia?,Siscia?,1
Skepsis(Troas),Skepsis (Troas),1
Skione,Skione,1
Skodra,Skodra,1
Smyrna,Smyrna,1
Smyrna(Ionia),Smyrna (Ionia),1
Soli,Soli,1
Soli-Pompeiopolis,Soli-Pompeiopolis,1
Soloi-Pompeiopolis,Soloi-Pompeiopolis,1
Spain,Spain,1
SpasinouCharax(Characene),Spasinou Charax (Characene),1
Stratonicea,Stratonicea,1
Stratoniceia,Stratoniceia,1
Stratonikeia,Stratonikeia,1
SuessaAurunca,Suessa Aurunca,1
Susa,Susa,1
Syedra,Syedra,1
Synaus,Synaus,1
Synaus(Phrygia),Synaus (Phrygia),1
Synnada,Synnada,1
Synnada(Phrygia),Synnada (Phrygia),1
Syracuse,Syracuse,1
Syrinx(Hyrcania),Syrinx (Hyrcania),1
Syros,Syros,1
Tabai,Tabai,1
Tanagra,Tanagra,1
Tanagra(Boetia),Tanagra (Boetia),1
Tarraco,Tarraco,1
Tarragona,Tarragona,1
Tarsus,Tarsus,1
Tarsus?,Tarsus?,1
Tavium(Galatia),Tavium (Galatia),1
Tegea,Tegea,1
Temenothyrae(Phrygia),Temenothyrae (Phrygia),1
Temnos(Aeolis),Temnos (Aeolis),1
Tenea,Tenea,1
Tenedos(Troas),Tenedos (Troas),1
Tenos,Tenos,1
Teos,Teos,1
Termessos,Termessos,1
