period,Find.Territory,Source.Territory,Find.Site,Source.Site,sites.counts
Hellenistic,Balkans,Balkans,Athens,Myrina (Lemnos),82
Hellenistic,Balkans,Balkans,Athens,Olbia,1
Hellenistic,Balkans,Balkans,Athens,Olynthos,1
Hellenistic,Balkans,Balkans,Athens,Orchomenos,1
Hellenistic,Balkans,Balkans,Athens,Ouranopolis,2
Hellenistic,Balkans,Balkans,Athens,Pantikapaion ,5
Hellenistic,Balkans,Balkans,Athens,Paros,2
Hellenistic,Balkans,Balkans,Athens,Pella,1
Hellenistic,Balkans,Balkans,Athens,Pellene (Achaea),6
Hellenistic,Balkans,Balkans,Athens,Peparethos (Thessaly),1
Hellenistic,Balkans,Balkans,Athens,Perinthos,1
Hellenistic,Balkans,Balkans,Athens,Phalanna (Thessaly),4
Hellenistic,Balkans,Balkans,Athens,Pharsalos (Thessaly),5
Hellenistic,Balkans,Balkans,Athens,Pheneos,1
Hellenistic,Balkans,Balkans,Athens,Philious (Philiasia),6
Hellenistic,Balkans,Balkans,Athens,Philippoi,1
Hellenistic,Balkans,Balkans,Athens,Phokis,24
Hellenistic,Balkans,Balkans,Athens,Salamis (Attica),99
Hellenistic,Balkans,Balkans,Athens,Sestos (Chersonese),2
Hellenistic,Balkans,Balkans,Athens,Sikyon (Sikyonia),68
Hellenistic,Balkans,Balkans,Athens,Skione,1
Hellenistic,Balkans,Balkans,Athens,Tegea,9
Hellenistic,Balkans,Balkans,Athens,Tenos,7
Hellenistic,Balkans,Balkans,Athens,Thasos,3
Hellenistic,Balkans,Balkans,Athens,Thebes (Boetia),9
Hellenistic,Balkans,Balkans,Athens,Thespiai (Boetia),10
Hellenistic,Balkans,Balkans,Athens,Thessalonica,3
Hellenistic,Balkans,Balkans,Athens,Thouria,1
Hellenistic,Balkans,Balkans,Athens,Thyrrheion (Akarnania),1
Hellenistic,Balkans,Balkans,Athens,Troizen,1
Hellenistic,Balkans,Balkans,Athens,uncertain,4
Hellenistic,Balkans,Balkans,Athens,uncertain (Epirus),3
Hellenistic,Balkans,Balkans,Athens,Zakynthos,2
Hellenistic,Balkans,Balkans,Corinth,Alyzia,1
Hellenistic,Balkans,Balkans,Corinth,Andros,1
Hellenistic,Balkans,Balkans,Corinth,Argos (Argolis),13
Hellenistic,Balkans,Balkans,Corinth,Athens,11
Hellenistic,Balkans,Balkans,Corinth,Boeotia,6
Hellenistic,Balkans,Balkans,Corinth,Chalcis,8
Hellenistic,Balkans,Balkans,Corinth,Cleonae,2
Hellenistic,Balkans,Balkans,Corinth,Corinth,306
Hellenistic,Balkans,Balkans,Corinth,Elis,4
Hellenistic,Balkans,Balkans,Corinth,Epidaurus,2
Hellenistic,Balkans,Balkans,Corinth,Epirus,2
Hellenistic,Balkans,Balkans,Corinth,Eretria,1
Hellenistic,Balkans,Balkans,Corinth,Hermione,1
Hellenistic,Balkans,Balkans,Corinth,Histiaea,1
Hellenistic,Balkans,Balkans,Corinth,Leucas,1
Hellenistic,Balkans,Balkans,Corinth,Locri Opuntii,4
Hellenistic,Balkans,Balkans,Corinth,Mantineae,1
Hellenistic,Balkans,Balkans,Corinth,Megara,6
Hellenistic,Balkans,Balkans,Corinth,Messene,2
Hellenistic,Balkans,Balkans,Corinth,Naxos,1
Hellenistic,Balkans,Balkans,Corinth,Oeniadae,1
Hellenistic,Balkans,Balkans,Corinth,Orchomenus,1
Hellenistic,Balkans,Balkans,Corinth,Pallantium,1
Hellenistic,Balkans,Balkans,Corinth,Paros,1
Hellenistic,Balkans,Balkans,Corinth,Philus,2
Hellenistic,Balkans,Balkans,Corinth,Phlius,1
Hellenistic,Balkans,Balkans,Corinth,Sicyon,104
Hellenistic,Balkans,Balkans,Corinth,Thebes,1
Hellenistic,Balkans,Balkans,Corinth,uncertain,34
Hellenistic,Balkans,Balkans,Corinth,Zacynthus,1
Hellenistic,Balkans,Balkans,Histria,uncertain,174
Hellenistic,Balkans,Cilicia,Athens,Seleucia on the Kalykadnos,1
Hellenistic,Balkans,Cilicia,Athens,Soloi-Pompeiopolis,2
Hellenistic,Balkans,Cilicia,Athens,Tarsus,2
Hellenistic,Balkans,Cyprus,Athens,uncertain,2
Hellenistic,Balkans,Egypt,Athens,uncertain,27
Hellenistic,Balkans,Egypt,Corinth,uncertain,16
Hellenistic,Balkans,Italy/Sicily,Athens,Brundisium,1
Hellenistic,Balkans,Italy/Sicily,Athens,Kroton,1
Hellenistic,Balkans,Italy/Sicily,Athens,Mamertinoi,2
Hellenistic,Balkans,Italy/Sicily,Athens,Punic,3
Hellenistic,Balkans,Italy/Sicily,Athens,Rhegion,1
Hellenistic,Balkans,Italy/Sicily,Athens,Rome,1
Hellenistic,Balkans,Italy/Sicily,Athens,Syracuse,1
Hellenistic,Balkans,Italy/Sicily,Athens,uncertain,2
Hellenistic,Balkans,Italy/Sicily,Corinth,Bruttium,1
Hellenistic,Balkans,Italy/Sicily,Corinth,Rome?,4
Hellenistic,Balkans,Southern Levant,Athens,uncertain,1
Hellenistic,Balkans,Syria,Athens,Antioch,5
Hellenistic,Balkans,Syria,Athens,Berytos,1
Hellenistic,Balkans,Syria,Athens,uncertain,1
Hellenistic,Balkans,West,Athens,uncertain,1
Hellenistic,Cilicia,Balkans,Elaiussa Sebaste,uncertain,2
Hellenistic,Cilicia,Balkans,Tarsus,uncertain,44
Hellenistic,Cilicia,Cilicia,Tarsus,Soli,3
Hellenistic,Cilicia,Cilicia,Tarsus,Tarsus,73
Hellenistic,Cilicia,Cilicia,Yüceören Tepesi,Aegeae,2
Hellenistic,Cilicia,Cilicia,Yüceören Tepesi,Tarsus,1
Hellenistic,Cilicia,Cyprus,Elaiussa Sebaste,uncertain,1
Hellenistic,Cilicia,East,Yüceören Tepesi,Ai Khanoum,2
Hellenistic,Cilicia,Syria,Tarsus,Antioch,20
Hellenistic,Cilicia,Syria,Tarsus,Laodicea ad Mare,1
Hellenistic,Cilicia,Syria,Tarsus,Seleucia Pieria,2
Hellenistic,Cilicia,Syria,Yüceören Tepesi,Antioch,1
Hellenistic,Cyprus,Anatolia,Kourion,Cos (Caria),1
Hellenistic,Cyprus,Anatolia,Kourion,Rhodes,1
Hellenistic,Cyprus,Anatolia,Kourion,Side (Pamphylia),1
Hellenistic,Cyprus,Anatolia,Paphos,Sardes (Lydia),1
Hellenistic,Cyprus,Anatolia,Paphos,Side (Pamphylia),2
Hellenistic,Cyprus,Balkans,Kourion,Corinth,1
Hellenistic,Cyprus,Balkans,Kourion,Megara,1
Hellenistic,Cyprus,Balkans,Kourion,Sicyon,1
Hellenistic,Cyprus,Balkans,Paphos,Knossos,1
Hellenistic,Cyprus,Cilicia,Kourion,Soli,1
Hellenistic,Cyprus,Cilicia,Kourion,Tarsus,1
Hellenistic,Cyprus,Cilicia,Kourion,Tarsus?,1
Hellenistic,Cyprus,Cyprus,Kourion,Kourion?,22
Hellenistic,Cyprus,Cyprus,Kourion,Marium,2
Hellenistic,Cyprus,Cyprus,Kourion,Paphos,90
Hellenistic,Cyprus,Cyprus,Kourion,Salamis,46
Hellenistic,Cyprus,Cyprus,Kourion,uncertain,156
Hellenistic,Cyprus,Cyprus,Paphos,Paphos,346
Hellenistic,Cyprus,Cyprus,Paphos,Paphos?,4
Hellenistic,Cyprus,Cyprus,Paphos,Salamis,12
Hellenistic,Cyprus,Cyprus,Paphos,Salamis?,1
Hellenistic,Cyprus,Cyprus,Paphos,uncertain,11
Hellenistic,Cyprus,Egypt,Kourion,uncertain,14
Hellenistic,Cyprus,Egypt,Paphos,Alexandria,5
Hellenistic,Cyprus,Egypt,Paphos,Alexandria?,24
Hellenistic,Cyprus,Egypt,Paphos,uncertain,5
Hellenistic,Cyprus,Southern Levant,Kourion,uncertain,3
Hellenistic,Cyprus,Southern Levant,Paphos,Gaza,1
Hellenistic,Cyprus,Syria,Kourion,Antioch,2
Hellenistic,Cyprus,Syria,Kourion,Carne/Karne,1
Hellenistic,Cyprus,Syria,Kourion,Sidon,1
Hellenistic,Cyprus,Syria,Kourion,Sidon?,3
Hellenistic,Cyprus,Syria,Kourion,Tyre,5
Hellenistic,Cyprus,Syria,Kourion,uncertain,1
Hellenistic,Cyprus,Syria,Paphos,Antioch,2
Hellenistic,Cyprus,Syria,Paphos,Marathus,1
Hellenistic,Cyprus,Syria,Paphos,Seleucia Pieria,1
Hellenistic,Cyprus,Syria,Paphos,uncertain,3
Hellenistic,East,Anatolia,Dura Europos,Abydus,1
Hellenistic,East,Anatolia,Dura Europos,Magnesia-ad-Sipylum,1
Hellenistic,East,Anatolia,Dura Europos,Pergamon,1
Hellenistic,East,Anatolia,Nimrud,uncertain,2
Hellenistic,East,Anatolia,Susa,Sardis (Lydia),1
Hellenistic,East,Anatolia,Tall She Hamad/Magdalu,Sardis,1
Hellenistic,East,Balkans,Dura Europos,Lysimacheia,1
Hellenistic,East,Cappadocia,Dura Europos,Caesarea,1
Hellenistic,East,Cappadocia,Tall She Hamad/Magdalu,uncertain,1
Hellenistic,East,Cilicia,Dura Europos,Mopsus,1
Hellenistic,East,Cilicia,Dura Europos,Soli,1
Hellenistic,East,Cilicia,Dura Europos,Tarsus,2
Hellenistic,East,Cilicia,Susa,Tarsus,1
Hellenistic,East,Cyprus,Dura Europos,uncertain,1
Hellenistic,East,East,Dura Europos,Bactria,2
Hellenistic,East,East,Dura Europos,Charax,2
Hellenistic,East,East,Dura Europos,Dura-Europos,21
Hellenistic,East,East,Dura Europos,Ecbatana,1
Hellenistic,East,East,Dura Europos,Persia,1
Hellenistic,East,East,Dura Europos,Seleucia Tigris,13
Hellenistic,East,East,Dura Europos,uncertain,4
Hellenistic,East,East,Nimrud,Ecbatana,1
Hellenistic,East,East,Seleucia Tigris,Seleucia Tigris,397
Hellenistic,East,East,Seleucia Tigris,Susa,5
Hellenistic,East,East,Susa,Arsamosta (Sophene),1
Hellenistic,East,East,Susa,Babylon,2
Hellenistic,East,East,Susa,Ecbatana,7
Hellenistic,East,East,Susa,Ecbatana?,7
Hellenistic,East,East,Susa,Nisibis,1
Hellenistic,East,East,Susa,Seleucia Tigris,524
